PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2014;2015;2016;2017;2018
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56857;B Scheikunde;voltijd onderwijs;wo bachelor;vrouw;13;11;11;0;0
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56860;B Biologie;voltijd onderwijs;wo bachelor;man;59;75;33;43;0
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56860;B Biologie;voltijd onderwijs;wo bachelor;vrouw;75;81;75;70;0
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56943;B Chemistry;voltijd onderwijs;wo bachelor;man;0;0;2;23;13
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56943;B Chemistry;voltijd onderwijs;wo bachelor;vrouw;0;0;0;13;15
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56944;B Molecular Life Sciences;voltijd onderwijs;wo bachelor;man;0;0;1;16;18
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56944;B Molecular Life Sciences;voltijd onderwijs;wo bachelor;vrouw;0;0;0;15;22
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56945;B Artificial Intelligence;voltijd onderwijs;wo bachelor;man;0;0;0;28;44
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56945;B Artificial Intelligence;voltijd onderwijs;wo bachelor;vrouw;0;0;0;23;13
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56948;B Science;voltijd onderwijs;wo bachelor;man;12;10;10;7;14
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56948;B Science;voltijd onderwijs;wo bachelor;vrouw;10;5;4;5;9
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56978;B Informatica;voltijd onderwijs;wo bachelor;man;13;25;31;36;0
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56978;B Informatica;voltijd onderwijs;wo bachelor;vrouw;0;3;1;6;0
