brin_nummer,kwalificatie_code,kwalificatie_naam,2015_man_i,2015_vrouw_i,2015_tot_i,2016_man_i,2016_vrouw_i,2016_tot_i,2017_man_i,2017_vrouw_i,2017_tot_i,2018_man_i,2018_vrouw_i,2018_tot_i,2019_man_i,2019_vrouw_i,2019_tot_i,2015_man_d,2015_vrouw_d,2015_tot_d,2016_man_d,2016_vrouw_d,2016_tot_d,2017_man_d,2017_vrouw_d,2017_tot_d,2018_man_d,2018_vrouw_d,2018_tot_d,2019_man_d,2019_vrouw_d,2019_tot_d,tech_label
02PA,91542.0,Vormgeving ruimtelijke presentatie en communicatie (Vormgever productpresentatie),0.0,22.0,22.0,1.0,24.0,25.0,1.0,13.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,11.0,11.0,0.0,10.0,10.0,1.0,13.0,14.0,0.0,0.0,0.0,design
02PA,93220.0,Game artist,46.0,21.0,67.0,76.0,54.0,130.0,47.0,38.0,85.0,23.0,21.0,44.0,1.0,0.0,1.0,24.0,7.0,31.0,20.0,8.0,28.0,25.0,12.0,37.0,23.0,16.0,39.0,22.0,21.0,43.0,tech
02PA,94500.0,Signmaker (Medewerker sign),39.0,14.0,53.0,21.0,4.0,25.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,15.0,12.0,8.0,20.0,15.0,4.0,19.0,2.0,0.0,2.0,0.0,0.0,0.0,design
02PA,94510.0,Signmaker (Allround signmaker),5.0,3.0,8.0,11.0,8.0,19.0,9.0,6.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,7.0,5.0,3.0,8.0,9.0,7.0,16.0,9.0,5.0,14.0,0.0,1.0,1.0,design
02PA,95312.0,Applicatie- en mediaontwikkeling (Gamedeveloper),32.0,0.0,32.0,89.0,1.0,90.0,58.0,0.0,58.0,23.0,1.0,24.0,0.0,0.0,0.0,9.0,1.0,10.0,14.0,0.0,14.0,18.0,0.0,18.0,31.0,0.0,31.0,23.0,1.0,24.0,tech
02PA,95313.0,Applicatie- en mediaontwikkeling (Mediadeveloper),39.0,3.0,42.0,96.0,4.0,100.0,67.0,2.0,69.0,33.0,2.0,35.0,1.0,0.0,1.0,6.0,0.0,6.0,16.0,1.0,17.0,17.0,2.0,19.0,29.0,0.0,29.0,31.0,2.0,33.0,tech
02PA,95705.0,Allround DTP-er,84.0,53.0,137.0,76.0,52.0,128.0,37.0,21.0,58.0,1.0,0.0,1.0,0.0,0.0,0.0,32.0,19.0,51.0,44.0,22.0,66.0,40.0,31.0,71.0,45.0,25.0,70.0,2.0,1.0,3.0,tech
02PA,95707.0,Medewerker DTP,43.0,21.0,64.0,24.0,11.0,35.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,11.0,47.0,26.0,8.0,34.0,22.0,12.0,34.0,1.0,0.0,1.0,0.0,0.0,0.0,tech
02PK,22093.0,Vormgeving ruimtelijke presentatie en communicatie,26.0,263.0,289.0,10.0,115.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,design
02PK,25212.0,Ruimtelijk vormgever,6.0,97.0,103.0,15.0,279.0,294.0,22.0,445.0,467.0,26.0,567.0,593.0,30.0,580.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2.0,83.0,85.0,design
02PK,25215.0,Signspecialist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,25.0,25.0,16.0,41.0,,,,,,,,,,,,,,,,design
02PK,91530.0,Vormgeving ruimtelijke presentatie en communicatie (Medewerker productpresentatie),6.0,69.0,75.0,5.0,17.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,30.0,1.0,35.0,36.0,4.0,17.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0,design
02PK,91541.0,"Vormgeving ruimtelijke presentatie en communicatie (Stand-, winkel en decorvormgever)",2.0,31.0,33.0,4.0,46.0,50.0,4.0,29.0,33.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,31.0,34.0,2.0,26.0,28.0,3.0,46.0,49.0,4.0,25.0,29.0,0.0,3.0,3.0,design
02PK,91542.0,Vormgeving ruimtelijke presentatie en communicatie (Vormgever productpresentatie),3.0,46.0,49.0,4.0,34.0,38.0,1.0,34.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,40.0,44.0,3.0,43.0,46.0,4.0,33.0,37.0,1.0,30.0,31.0,0.0,5.0,5.0,design
02PK,91543.0,Vormgeving ruimtelijke presentatie en communicatie (Winkelpubliciteitvormgever),4.0,45.0,49.0,6.0,59.0,65.0,3.0,45.0,48.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,39.0,41.0,3.0,44.0,47.0,4.0,55.0,59.0,4.0,42.0,46.0,1.0,6.0,7.0,design
02PK,94500.0,Signmaker (Medewerker sign),26.0,8.0,34.0,13.0,4.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,19.0,12.0,5.0,17.0,13.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,design
02PK,94510.0,Signmaker (Allround signmaker),6.0,5.0,11.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,3.0,3.0,6.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,design
02PN,22086.0,Mediavormgever,22.0,37.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,tech
02PN,22093.0,Vormgeving ruimtelijke presentatie en communicatie,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,design
02PN,25197.0,Allround DTP-er,0.0,0.0,0.0,20.0,32.0,52.0,22.0,41.0,63.0,23.0,38.0,61.0,21.0,30.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,26.0,tech
02PN,25201.0,Mediavormgever,80.0,104.0,184.0,166.0,283.0,449.0,210.0,398.0,608.0,254.0,506.0,760.0,227.0,523.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,63.0,113.0,tech
02PN,25212.0,Ruimtelijk vormgever,17.0,125.0,142.0,32.0,254.0,286.0,53.0,378.0,431.0,58.0,464.0,522.0,61.0,486.0,547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,82.0,89.0,design
02PN,25592.0,Allround mediamaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,28.0,,,,,,,,,,,,,,,,tech
02PN,90401.0,Mediavormgever (Animatie/audiovisuele vormgeving),77.0,39.0,116.0,42.0,29.0,71.0,22.0,17.0,39.0,4.0,3.0,7.0,1.0,0.0,1.0,18.0,13.0,31.0,37.0,18.0,55.0,16.0,13.0,29.0,24.0,17.0,41.0,3.0,3.0,6.0,tech
